,neurons,activation,learning_rate,accuracy,task,target,epochs,batch_size
0,20,relu,0.001,0.7882868089764642,vs_Weak,Q96GD4,10,8
0,20,relu,0.001,0.7940229885057472,vs_Weak,Q96GD4,20,8
0,20,relu,0.001,0.7671483305966064,vs_Weak,Q96GD4,30,8
0,20,relu,0.001,0.8150410509031198,vs_Weak,Q96GD4,40,8
0,20,relu,0.001,0.78440065681445,vs_Weak,Q96GD4,10,16
0,20,relu,0.001,0.7997701149425288,vs_Weak,Q96GD4,20,16
0,20,relu,0.001,0.7940339354132457,vs_Weak,Q96GD4,30,16
0,20,relu,0.001,0.7921291735084838,vs_Weak,Q96GD4,40,16
0,20,relu,0.001,0.7595183360700603,vs_Weak,Q96GD4,10,32
0,20,relu,0.001,0.780623973727422,vs_Weak,Q96GD4,20,32
0,20,relu,0.001,0.7997591680350301,vs_Weak,Q96GD4,30,32
0,20,relu,0.001,0.7940448823207444,vs_Weak,Q96GD4,40,32
0,20,relu,0.001,0.7345812807881774,vs_Weak,Q96GD4,10,64
0,20,relu,0.001,0.7824849480021894,vs_Weak,Q96GD4,20,64
0,20,relu,0.001,0.784488232074439,vs_Weak,Q96GD4,30,64
0,20,relu,0.001,0.795927750410509,vs_Weak,Q96GD4,40,64
0,20,relu,0.001,0.6484948002189381,vs_all,Q96GD4,10,8
0,20,relu,0.001,0.6312753147235907,vs_all,Q96GD4,20,8
0,20,relu,0.001,0.6312753147235907,vs_all,Q96GD4,30,8
0,20,relu,0.001,0.619792008757526,vs_all,Q96GD4,40,8
0,20,relu,0.001,0.6331800766283525,vs_all,Q96GD4,10,16
0,20,relu,0.001,0.6217296113847838,vs_all,Q96GD4,20,16
0,20,relu,0.001,0.6484838533114395,vs_all,Q96GD4,30,16
0,20,relu,0.001,0.6178981937602627,vs_all,Q96GD4,40,16
0,20,relu,0.001,0.6331691297208538,vs_all,Q96GD4,10,32
0,20,relu,0.001,0.6255500821018062,vs_all,Q96GD4,20,32
0,20,relu,0.001,0.6293705528188287,vs_all,Q96GD4,30,32
0,20,relu,0.001,0.6331800766283525,vs_all,Q96GD4,40,32
0,20,relu,0.001,0.6331034482758621,vs_all,Q96GD4,10,64
0,20,relu,0.001,0.619792008757526,vs_all,Q96GD4,20,64
0,20,relu,0.001,0.6350957854406131,vs_all,Q96GD4,30,64
0,20,relu,0.001,0.6389162561576355,vs_all,Q96GD4,40,64
0,20,relu,0.001,0.839792008757526,vs_Non-binder,Q96GD4,10,8
0,20,relu,0.001,0.8474110563765737,vs_Non-binder,Q96GD4,20,8
0,20,relu,0.001,0.845528188286809,vs_Non-binder,Q96GD4,30,8
0,20,relu,0.001,0.8454953475643131,vs_Non-binder,Q96GD4,40,8
0,20,relu,0.001,0.8378106185002737,vs_Non-binder,Q96GD4,10,16
0,20,relu,0.001,0.8474329501915708,vs_Non-binder,Q96GD4,20,16
0,20,relu,0.001,0.8378325123152709,vs_Non-binder,Q96GD4,30,16
0,20,relu,0.001,0.8531581828133552,vs_Non-binder,Q96GD4,40,16
0,20,relu,0.001,0.8358839627805145,vs_Non-binder,Q96GD4,10,32
0,20,relu,0.001,0.8454953475643131,vs_Non-binder,Q96GD4,20,32
0,20,relu,0.001,0.8531581828133552,vs_Non-binder,Q96GD4,30,32
0,20,relu,0.001,0.8416967706622879,vs_Non-binder,Q96GD4,40,32
0,20,relu,0.001,0.8090968801313628,vs_Non-binder,Q96GD4,10,64
0,20,relu,0.001,0.8359168035030105,vs_Non-binder,Q96GD4,20,64
0,20,relu,0.001,0.835927750410509,vs_Non-binder,Q96GD4,30,64
0,20,relu,0.001,0.8474110563765738,vs_Non-binder,Q96GD4,40,64
0,20,relu,0.001,0.837504018408541,vs_Weak,P49841,10,8
0,20,relu,0.001,0.8207028408033432,vs_Weak,P49841,20,8
0,20,relu,0.001,0.8039185828130552,vs_Weak,P49841,30,8
0,20,relu,0.001,0.7905013281897704,vs_Weak,P49841,40,8
0,20,relu,0.001,0.8089606280561054,vs_Weak,P49841,10,16
0,20,relu,0.001,0.8140111331066104,vs_Weak,P49841,20,16
